Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
276,Philipp Kurashev,CHI,23,F,62,9,16,25,10,-27,17:35,14:45,1:57,0:52,9,0,0,2,0,12,4,0,0,0,21,4,0,2,0,16.0%,0.495,0.88,1.375,0.59,0.787,1.377,0,1.972,1.972,0.145,0.258,0.403,109,8.3%,36,27,43,54,44.33%
277,Cam Fowler,ANA,31,D,64,9,28,37,10,-16,23:48,19:04,2:36,2:06,5,4,0,1,0,19,9,0,3,1,24,13,0,4,1,35.1%,0.354,1.103,1.457,0.246,0.934,1.179,1.434,3.226,4.659,0.141,0.438,0.578,102,8.8%,14,68,0,0,0.00%
278,Jared Spurgeon,MIN,33,D,64,9,18,27,10,25,21:49,17:38,1:12,2:58,8,1,0,2,0,15,2,1,1,0,23,3,1,3,0,11.1%,0.387,0.773,1.16,0.425,0.797,1.222,0.777,1.555,2.332,0.141,0.281,0.422,125,7.2%,60,159,0,0,0.00%
279,Garnet Hathaway,BOS,31,F,64,9,9,18,52,7,12:04,10:26,0:00,1:37,9,0,0,1,0,8,0,1,2,0,17,0,1,3,0,0.0%,0.698,0.698,1.397,0.808,0.718,1.526,0,0,0,0.141,0.141,0.281,71,12.7%,208,72,3,8,27.27%
280,Joel Farabee,PHI,22,F,64,9,18,27,36,-2,16:39,13:52,1:58,0:48,9,0,0,1,0,17,1,0,2,0,26,1,0,3,0,3.7%,0.506,1.013,1.519,0.608,1.149,1.757,0,0.475,0.475,0.141,0.281,0.422,109,8.3%,62,38,14,23,37.84%
281,Jack McBain,ARI,22,F,64,9,5,14,51,-7,13:23,11:20,0:06,1:56,9,0,0,2,0,5,0,0,0,0,14,0,0,2,0,0.0%,0.63,0.35,0.98,0.744,0.414,1.158,0,0,0,0.141,0.078,0.219,67,13.4%,222,44,267,337,44.21%
282,Nikita Zadorov,CGY,27,D,65,9,5,14,60,9,18:54,16:15,0:12,2:26,9,0,0,1,0,4,1,0,0,0,13,1,0,1,0,7.1%,0.439,0.244,0.683,0.511,0.227,0.738,0,4.563,4.563,0.138,0.077,0.215,98,9.2%,145,67,0,0,0.00%
283,Ryan Lomberg,FLA,28,F,65,9,7,16,80,-2,10:39,10:12,0:04,0:22,9,0,0,1,0,7,0,0,2,0,16,0,0,3,0,0.0%,0.78,0.607,1.386,0.814,0.633,1.448,0,0,0,0.138,0.108,0.246,102,8.8%,102,16,12,12,50.00%
284,Matt Roy,LAK,27,D,65,9,13,22,16,2,18:35,16:29,0:03,2:02,8,0,1,2,0,12,0,1,1,1,20,0,2,3,1,0.0%,0.447,0.645,1.092,0.448,0.671,1.119,0,0,0,0.138,0.2,0.338,118,7.6%,93,116,0,0,0.00%
285,Blake Lizotte,LAK,25,F,65,9,20,29,47,5,12:52,11:24,0:04,1:23,9,0,0,1,0,18,0,2,1,0,27,0,2,2,0,0.0%,0.646,1.435,2.08,0.728,1.457,2.185,0,0,0,0.138,0.308,0.446,83,10.8%,76,32,320,321,49.92%
286,Rafael Harvey-Pinard,MTL,23,F,20,8,4,12,6,7,16:27,13:48,1:25,1:13,5,2,1,0,0,4,0,0,0,0,9,2,1,0,0,16.7%,1.459,0.729,2.188,1.087,0.869,1.956,4.211,0,4.211,0.4,0.2,0.6,35,22.9%,36,36,0,0,0.00%
287,John Carlson,WSH,32,D,30,8,13,21,6,-1,23:23,17:09,4:21,1:52,5,2,1,0,0,8,5,0,3,0,13,7,1,3,0,33.3%,0.684,1.112,1.796,0.583,0.933,1.516,0.918,2.295,3.213,0.267,0.433,0.7,101,7.9%,34,70,0,0,0.00%
288,Ondrej Palat,NJD,31,F,31,8,11,19,2,10,16:03,14:07,1:46,0:09,7,1,0,1,0,9,2,0,3,0,16,3,0,4,0,15.8%,0.964,1.325,2.289,0.959,1.233,2.191,1.092,2.184,3.277,0.258,0.355,0.613,53,15.1%,57,34,0,6,0.00%
289,Tyler Johnson,CHI,32,F,37,8,14,22,14,-3,16:00,13:24,2:32,0:03,5,3,0,0,0,11,3,0,3,2,16,6,0,3,2,27.3%,0.811,1.419,2.229,0.605,1.331,1.936,1.912,1.912,3.824,0.216,0.378,0.595,72,11.1%,38,19,33,33,50.00%
